sample,isi,spike_num,amp,NAME,DESC,SIZE,COLOR,PIC
4591,0.13303,-1,-365.703,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0002.png
5827,0.0412,-1,-359.1705,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0003.png
7755,0.064267,-1,-349.947,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0004.png
22702,0.49823,1,-399.984,NaN,NaN,200,0.1,http://web.media.mit.edu/~bdallen/spike0005.png
22929,0.0075667,2,-347.802,NaN,NaN,200,0.25,http://web.media.mit.edu/~bdallen/spike0006.png
23081,0.0050667,3,-146.33385,NaN,NaN,200,0.45,http://web.media.mit.edu/~bdallen/spike0007.png
23318,0.0079,4,-27.0855,NaN,NaN,200,0.65,http://web.media.mit.edu/~bdallen/spike0008.png
23693,0.0125,5,-55.3215,NaN,NaN,200,0.85,http://web.media.mit.edu/~bdallen/spike0009.png
24281,0.0196,6,-175.8627,NaN,NaN,200,1,http://web.media.mit.edu/~bdallen/spike0010.png
30149,0.1956,-1,-328.302,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0011.png
35712,0.18543,-1,-342.459,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0012.png
41473,0.19203,-1,-374.166,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0013.png
44744,0.10903,-1,-365.9175,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0014.png
47774,0.101,1,-329.199,NaN,NaN,200,0.1,http://web.media.mit.edu/~bdallen/spike0015.png
48265,0.016367,2,-267.852,NaN,NaN,200,0.25,http://web.media.mit.edu/~bdallen/spike0016.png
51125,0.095333,-1,-358.059,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0017.png
57856,0.22437,-1,-321.984,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0018.png
58966,0.037,-1,-269.0025,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0019.png
59965,0.0333,-1,-336.765,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0020.png
61458,0.049767,-1,-320.19,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0021.png
63534,0.0692,-1,-275.34,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0022.png
67126,0.11973,-1,-270.66,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0023.png
71221,0.1365,1,-436.059,NaN,NaN,200,0.1,http://web.media.mit.edu/~bdallen/spike0024.png
71651,0.014333,2,-332.436,NaN,NaN,200,0.25,http://web.media.mit.edu/~bdallen/spike0025.png
75614,0.1321,-1,-349.596,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0026.png
78138,0.084133,-1,-397.293,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0027.png
80912,0.092467,-1,-270.9525,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0028.png
83605,0.089767,-1,-331.929,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0029.png
84257,0.021733,-1,-353.0475,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0030.png
86543,0.0762,-1,-279.552,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0031.png
91879,0.17787,-1,-287.7615,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0032.png
